birdX,birdY,uppperPipeX,upperPipeY,lowerPipeX,lowerPipeY,action
57,136,48.0,-231,48.0,189,0
57,142,44.0,-231,44.0,189,0
57,133,40.0,-231,40.0,189,1
57,125,36.0,-231,36.0,189,0
57,118,32.0,-231,32.0,189,0
57,112,28.0,-231,28.0,189,0
57,107,24.0,-231,24.0,189,0
57,103,20.0,-231,20.0,189,0
57,100,16.0,-231,16.0,189,0
57,98,12.0,-231,12.0,189,0
57,97,8.0,-231,8.0,189,0
57,97,4.0,-231,4.0,189,0
57,98,0.0,-231,0.0,189,0
57,100,-4.0,-231,-4.0,189,0
57,103,-8.0,-231,-8.0,189,0
57,107,-12.0,-231,-12.0,189,0
57,112,-16.0,-231,-16.0,189,0
57,118,-20.0,-231,-20.0,189,0
57,125,-24.0,-231,-24.0,189,0
57,133,-28.0,-231,-28.0,189,0
57,142,-32.0,-231,-32.0,189,0
57,152,-36.0,-231,-36.0,189,0
57,162,-40.0,-231,-40.0,189,0
57,172,-44.0,-231,-44.0,189,0
57,182,-48.0,-231,-48.0,189,0
57,192,-52.0,-231,-52.0,189,0
57,202,94,-164,94,256,0
57,212,90,-164,90,256,0
57,222,86,-164,86,256,0
57,232,82,-164,82,256,0
57,223,78,-164,78,256,1
57,215,74,-164,74,256,0
57,208,70,-164,70,256,0
57,202,66,-164,66,256,0
57,197,62,-164,62,256,0
57,193,58,-164,58,256,0
57,190,54,-164,54,256,0
57,188,50,-164,50,256,0
57,187,46,-164,46,256,0
57,187,42,-164,42,256,0
57,188,38,-164,38,256,0
57,190,34,-164,34,256,0
57,193,30,-164,30,256,0
57,184,26,-164,26,256,1
57,176,22,-164,22,256,0
57,169,18,-164,18,256,0
57,163,14,-164,14,256,0
57,158,10,-164,10,256,0
57,154,6,-164,6,256,0
57,151,2,-164,2,256,0
57,149,-2,-164,-2,256,0
57,148,-6,-164,-6,256,0
57,148,-10,-164,-10,256,0
57,149,-14,-164,-14,256,0
57,151,-18,-164,-18,256,0
57,154,-22,-164,-22,256,0
57,158,-26,-164,-26,256,0
57,163,-30,-164,-30,256,0
57,169,-34,-164,-34,256,0
57,176,-38,-164,-38,256,0
57,184,-42,-164,-42,256,0
57,193,-46,-164,-46,256,0
57,203,-50,-164,-50,256,0
57,213,90,-128,90,292,0
57,223,86,-128,86,292,0
57,233,82,-128,82,292,0
57,243,78,-128,78,292,0
57,234,74,-128,74,292,1
57,226,70,-128,70,292,0
57,219,66,-128,66,292,0
57,213,62,-128,62,292,0
57,208,58,-128,58,292,0
57,204,54,-128,54,292,0
57,201,50,-128,50,292,0
57,199,46,-128,46,292,0
57,198,42,-128,42,292,0
57,198,38,-128,38,292,0
57,199,34,-128,34,292,0
57,201,30,-128,30,292,0
57,204,26,-128,26,292,0
57,208,22,-128,22,292,0
57,213,18,-128,18,292,0
57,219,14,-128,14,292,0
57,226,10,-128,10,292,0
57,234,6,-128,6,292,0
57,243,2,-128,2,292,0
57,253,-2,-128,-2,292,0
57,244,-6,-128,-6,292,1
57,236,-10,-128,-10,292,0
57,229,-14,-128,-14,292,0
57,223,-18,-128,-18,292,0
57,218,-22,-128,-22,292,0
57,214,-26,-128,-26,292,0
57,205,-30,-128,-30,292,1
57,197,-34,-128,-34,292,0
57,190,-38,-128,-38,292,0
57,184,-42,-128,-42,292,0
57,179,-46,-128,-46,292,0
57,175,-50,-128,-50,292,0
57,172,98,-166,98,254,0
57,170,94,-166,94,254,0
57,169,90,-166,90,254,0
57,169,86,-166,86,254,0
57,170,82,-166,82,254,0
57,172,78,-166,78,254,0
57,175,74,-166,74,254,0
